model,seed,sample,protein,spearman
mlp_64,2,D1TNSL,HLA_DRA,0.5965423470121857
mlp_64,2,D1TNSL,ITGAM,0.2208307491044239
mlp_64,2,D1TNSL,ITGAX,0.39589205565963365
mlp_64,2,D1TNSL,KRT5,0.8204707973706952
mlp_64,2,D1TNSL,MS4A1,0.44772135195397605
mlp_64,2,D1TNSL,PAX5,0.7772251264385556
mlp_64,2,D1TNSL,PCNA,0.31868717994362455
mlp_64,2,D1TNSL,PDCD1,0.29436182338607453
mlp_64,2,D1TNSL,PECAM1,0.7470834764304397
mlp_64,2,D1TNSL,PTPRC_1,0.17190361894757422
mlp_64,2,D1TNSL,PTPRC_2,0.4829953348217466
mlp_64,2,D1TNSL,SDC1,0.273876822450138
mlp_64,2,D1TNSL,VIM,0.6949861398513478
mlp_64_32,0,A1LN,ACTA2,0.4814680703516966
mlp_64_32,0,A1LN,BCL2,0.3672772559300949
mlp_64_32,0,A1LN,CCR7,0.31383561840999014
mlp_64_32,0,A1LN,CD14,0.3386019723982621
mlp_64_32,0,A1LN,CD163,0.19205066601063092
mlp_64_32,0,A1LN,CD19,0.543114352470861
mlp_64_32,0,A1LN,CD27,0.17278465351954445
mlp_64_32,0,A1LN,CD274,-0.12157930779846633
mlp_64_32,0,A1LN,CD3E,0.7800509409579959
mlp_64_32,0,A1LN,CD4,0.18760173466817245
mlp_64_32,0,A1LN,CD40,0.027332490813917733
mlp_64_32,0,A1LN,CD68,0.0330869777691829
mlp_64_32,0,A1LN,CD8A,0.5308144076615146
mlp_64_32,0,A1LN,CEACAM8,0.3299022557044021
mlp_64_32,0,A1LN,CR2,-0.056995460268503745
mlp_64_32,0,A1LN,CXCR5,0.3949772799875478
mlp_64_32,0,A1LN,EPCAM,-0.04934103789070658
mlp_64_32,0,A1LN,FCGR3A,0.2831923858059983
mlp_64_32,0,A1LN,HLA_DRA,0.38022695235928433
mlp_64_32,0,A1LN,ITGAM,0.1817171252656435
mlp_64_32,0,A1LN,ITGAX,0.3078757454347593
mlp_64_32,0,A1LN,KRT5,-0.02460937505185515
mlp_64_32,0,A1LN,MS4A1,0.2539277230058582
mlp_64_32,0,A1LN,PAX5,0.461075431936809
mlp_64_32,0,A1LN,PCNA,-0.1214440151854853
mlp_64_32,0,A1LN,PDCD1,-0.24387543373659062
mlp_64_32,0,A1LN,PECAM1,0.10584000345689944
mlp_64_32,0,A1LN,PTPRC_1,0.2593410382513547
mlp_64_32,0,A1LN,PTPRC_2,0.4191443652764848
mlp_64_32,0,A1LN,SDC1,0.07983343058209079
mlp_64_32,0,A1LN,VIM,0.04571295617293423
mlp_64_32,0,A1TNSL,ACTA2,0.775859790954795
mlp_64_32,0,A1TNSL,BCL2,0.606853033903197
mlp_64_32,0,A1TNSL,CCR7,0.3933524618891074
mlp_64_32,0,A1TNSL,CD14,0.24956689921353653
mlp_64_32,0,A1TNSL,CD163,0.29541080526091595
mlp_64_32,0,A1TNSL,CD19,0.22929355402322663
mlp_64_32,0,A1TNSL,CD27,0.27102709425241045
mlp_64_32,0,A1TNSL,CD274,0.450720954757101
mlp_64_32,0,A1TNSL,CD3E,0.8579874060390723
mlp_64_32,0,A1TNSL,CD4,0.1547121207229312
mlp_64_32,0,A1TNSL,CD40,0.28553264778315773
mlp_64_32,0,A1TNSL,CD68,0.40862981364874607
mlp_64_32,0,A1TNSL,CD8A,0.7755947351475204
mlp_64_32,0,A1TNSL,CEACAM8,0.4403344578068675
mlp_64_32,0,A1TNSL,CR2,0.18208017013498495
mlp_64_32,0,A1TNSL,CXCR5,0.7296172380293835
mlp_64_32,0,A1TNSL,EPCAM,0.32629543579873577
mlp_64_32,0,A1TNSL,FCGR3A,0.16423632143995467
mlp_64_32,0,A1TNSL,HLA_DRA,0.6775076081996377
