section,protein,signature,n_genes,rho,p,rho_adj,p_adj,is_isotype
B,CD40,EVT,6,-0.1849592898442727,3.862978443036881e-12,-0.21329644717879234,9.819876859657312e-16,False
B,CD68,EVT,6,-0.11374706363676071,2.174386260089503e-05,-0.1990583476322814,7.335020933949897e-14,False
B,CD8A,EVT,6,0.1771788742133116,3.026670393993182e-11,0.21869213068056179,1.7629944625164145e-16,False
B,CEACAM8,EVT,6,-0.11004553636850772,4.0057188087633236e-05,-0.16085561681451055,1.6960491875851222e-09,False
B,CR2,EVT,6,-0.14764952314489105,3.310376049230828e-08,-0.2146622599219688,6.385411103721962e-16,False
B,CXCR5,EVT,6,-0.1942468434069494,2.935593372605945e-13,-0.24137714900333623,7.759134786026657e-20,False
B,EPCAM,EVT,6,-0.12622541850103106,2.4102593688827252e-06,-0.16248420693566962,1.1551976927844208e-09,False
B,FCGR3A,EVT,6,-0.056197289940108246,0.03637669415059466,0.02359878921466658,0.37983160948464195,False
B,HLA_DRA,EVT,6,-0.16360614478936167,8.846614365469367e-10,-0.2094005105823369,3.2984083124776376e-15,False
B,ITGAM,EVT,6,-0.18732195004107088,2.0304540530757277e-12,-0.22026018261440222,1.0610926820306273e-16,False
B,ITGAX,EVT,6,0.1670767597476987,3.8302376299493586e-10,0.2004018132799385,4.9484722902434216e-14,False
B,KRT5,EVT,6,-0.13037491261249518,1.1052402852495926e-06,-0.18188031654784484,8.819583645005817e-12,False
B,MS4A1,EVT,6,-0.2087836147748554,3.987306225221818e-15,-0.23526976290284826,6.743844451760671e-19,False
B,PAX5,EVT,6,-0.1800048439319976,1.4481014613342236e-11,-0.23191615600023027,2.1546909055355266e-18,False
B,PCNA,EVT,6,-0.16687945915548683,4.018831526833822e-10,-0.21110519955704454,1.946850149489323e-15,False
B,PDCD1,EVT,6,-0.15925578316098182,2.4639603381366835e-09,-0.20835861604298037,4.5423487716538086e-15,False
B,PECAM1,EVT,6,0.201260410375292,3.842364435441197e-14,0.24653145329184056,1.1930232397568659e-20,False
B,PTPRC_1,EVT,6,0.1697790492151617,1.9715823571981747e-10,0.21274871172749582,1.1660270887811964e-15,False
B,PTPRC_2,EVT,6,0.1496370863019619,2.151192313230329e-08,0.1958914687244236,1.8346722516663945e-13,False
B,SDC1,EVT,6,-0.2050192240687258,1.2524758864607885e-14,-0.2177028230979184,2.4238020133024985e-16,False
B,VIM,EVT,6,0.16317648375660143,9.80052643624795e-10,0.21034636073209576,2.4632155840370373e-15,False
B,mouse_IgG1k,EVT,6,0.14142308077955712,1.231245553228466e-07,0.16428813788196617,7.515279764158012e-10,True
B,mouse_IgG2a,EVT,6,0.021841866528568406,0.41632805800852984,0.053601512151364744,0.0459462617500673,True
B,mouse_IgG2bk,EVT,6,0.11362379441666884,2.2197561645751362e-05,0.1381019381763218,2.4253495656709763e-07,True
B,rat_IgG2a,EVT,6,-0.1332863582584842,6.303552403230555e-07,-0.19061438808098302,8.169862227723295e-13,True
B,ACTA2,HBC,8,0.32216041319043165,7.329484472783081e-35,0.39517896593636304,4.629197119733343e-53,False
B,BCL2,HBC,8,0.31915006514452143,3.2828706843084332e-34,0.40157145193330895,6.883925640137224e-55,False
B,CCR7,HBC,8,-0.06776197179658282,0.011594604158678417,-0.10167057585316222,0.00014891053461732126,False
B,CD14,HBC,8,0.20686259830327575,7.170453075960617e-15,0.2687052991321725,2.286932754158706e-24,False
B,CD163,HBC,8,0.2818902197244666,9.470273477689252e-27,0.35559007560021716,1.323705386261101e-42,False
B,CD19,HBC,8,-0.31458781552366966,3.0833648042456935e-33,-0.35028483721535814,2.5987648716776933e-41,False
B,CD27,HBC,8,0.26486710081980464,1.0678287434714301e-23,0.3392615125743736,1.0544113193731015e-38,False
B,CD274,HBC,8,-0.3037627638578109,5.370068079888891e-31,-0.4009854624134854,1.016366656623246e-54,False
B,CD3E,HBC,8,0.3178543054194662,6.2267478466544695e-34,0.39822843159780014,6.289860252479241e-54,False
B,CD4,HBC,8,-0.28184517085598115,9.654451734744235e-27,-0.3519195099784182,1.0447336664781135e-41,False
B,CD40,HBC,8,-0.2641252079381931,1.4341835615106523e-23,-0.3127789197490664,7.41386616616497e-33,False
